2025-02-06 13:41:39,215 INFO    MainThread:1015017 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_134139-i45qajuk/logs/debug.log
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_134139-i45qajuk/logs/debug-internal.log
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_init.py:init():756] calling init triggers
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'MNFinder predictions on 47 validation images', 'model': 'MNFinder', '_wandb': {}}
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_init.py:init():778] found existing run on stack: 4g3wezss
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_run.py:_finish():2110] finishing run caicedo-lab/Best_Experiment/4g3wezss
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_run.py:_restore():2332] restore
2025-02-06 13:41:39,216 INFO    MainThread:1015017 [wandb_run.py:_restore():2338] restore done
2025-02-06 13:41:40,655 INFO    MainThread:1015017 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-06 13:41:40,655 INFO    MainThread:1015017 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-06 13:41:40,655 INFO    MainThread:1015017 [wandb_run.py:_footer_sync_info():3924] logging synced files
2025-02-06 13:41:40,655 INFO    MainThread:1015017 [wandb_init.py:init():789] starting backend
2025-02-06 13:41:40,655 INFO    MainThread:1015017 [wandb_init.py:init():793] sending inform_init request
2025-02-06 13:41:40,656 INFO    MainThread:1015017 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-06 13:41:40,656 INFO    MainThread:1015017 [wandb_init.py:init():808] backend started and connected
2025-02-06 13:41:40,660 INFO    MainThread:1015017 [wandb_init.py:init():901] updated telemetry
2025-02-06 13:41:40,663 INFO    MainThread:1015017 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-06 13:41:40,937 INFO    MainThread:1015017 [wandb_init.py:init():994] starting run threads in backend
2025-02-06 13:41:41,039 INFO    MainThread:1015017 [wandb_run.py:_console_start():2385] atexit reg
2025-02-06 13:41:41,039 INFO    MainThread:1015017 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-06 13:41:41,039 INFO    MainThread:1015017 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-06 13:41:41,039 INFO    MainThread:1015017 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-06 13:41:41,040 INFO    MainThread:1015017 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-06 13:42:07,053 INFO    MainThread:1015017 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_134207-u4d4i99h/logs/debug.log
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_134207-u4d4i99h/logs/debug-internal.log
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_init.py:init():756] calling init triggers
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'MNFinder predictions on 47 validation images', 'model': 'MNFinder', '_wandb': {}}
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_init.py:init():778] found existing run on stack: i45qajuk
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_run.py:_finish():2110] finishing run caicedo-lab/Best_Experiment/i45qajuk
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_run.py:_restore():2332] restore
2025-02-06 13:42:07,054 INFO    MainThread:1015017 [wandb_run.py:_restore():2338] restore done
2025-02-06 13:42:08,392 INFO    MainThread:1015017 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-06 13:42:08,392 INFO    MainThread:1015017 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-06 13:42:08,392 INFO    MainThread:1015017 [wandb_run.py:_footer_sync_info():3924] logging synced files
