2025-02-06 16:38:11,757 INFO    MainThread:1036971 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_163811-qns57kb0/logs/debug.log
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_163811-qns57kb0/logs/debug-internal.log
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_init.py:init():756] calling init triggers
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'Cellpose predictions on 47 validation images', 'model': 'Cellpose', '_wandb': {}}
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_init.py:init():778] found existing run on stack: 0p2mjb3t
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_run.py:_finish():2110] finishing run caicedo-lab/Best_Experiment/0p2mjb3t
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_run.py:_restore():2332] restore
2025-02-06 16:38:11,758 INFO    MainThread:1036971 [wandb_run.py:_restore():2338] restore done
2025-02-06 16:38:13,144 INFO    MainThread:1036971 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-06 16:38:13,144 INFO    MainThread:1036971 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-06 16:38:13,145 INFO    MainThread:1036971 [wandb_run.py:_footer_sync_info():3924] logging synced files
2025-02-06 16:38:13,145 INFO    MainThread:1036971 [wandb_init.py:init():789] starting backend
2025-02-06 16:38:13,145 INFO    MainThread:1036971 [wandb_init.py:init():793] sending inform_init request
2025-02-06 16:38:13,145 INFO    MainThread:1036971 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-06 16:38:13,146 INFO    MainThread:1036971 [wandb_init.py:init():808] backend started and connected
2025-02-06 16:38:13,147 INFO    MainThread:1036971 [wandb_init.py:init():901] updated telemetry
2025-02-06 16:38:13,150 INFO    MainThread:1036971 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-06 16:38:13,398 INFO    MainThread:1036971 [wandb_init.py:init():994] starting run threads in backend
2025-02-06 16:38:13,509 INFO    MainThread:1036971 [wandb_run.py:_console_start():2385] atexit reg
2025-02-06 16:38:13,509 INFO    MainThread:1036971 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-06 16:38:13,509 INFO    MainThread:1036971 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-06 16:38:13,509 INFO    MainThread:1036971 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-06 16:38:13,510 INFO    MainThread:1036971 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_163833-d00h44q7/logs/debug.log
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /scr/yren/micronuclei-detection/mnfinder/wandb/run-20250206_163833-d00h44q7/logs/debug-internal.log
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_init.py:init():756] calling init triggers
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'Cellpose predictions on 47 validation images', 'model': 'Cellpose', '_wandb': {}}
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_init.py:init():778] found existing run on stack: qns57kb0
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_run.py:_finish():2110] finishing run caicedo-lab/Best_Experiment/qns57kb0
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_run.py:_restore():2332] restore
2025-02-06 16:38:33,164 INFO    MainThread:1036971 [wandb_run.py:_restore():2338] restore done
2025-02-06 16:38:34,603 INFO    MainThread:1036971 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-06 16:38:34,603 INFO    MainThread:1036971 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-06 16:38:34,603 INFO    MainThread:1036971 [wandb_run.py:_footer_sync_info():3924] logging synced files
